product_code,description,barcode,packs_per_carton,gm_per_pack,price_point,purchase_price_pack,sale_price_pack,purchase_price_ctn,sale_price_ctn,brand
320035556,Lays F CHEESE 72G 72X12,320035556,12,72,100,83.067083333333329,91.886375000000001,996.80499999999995,1102.6365000000001,Lays
320035557,Lays Y&H 72G 72X12,320035557,12,72,100,83.067083333333329,91.886375000000001,996.80499999999995,1102.6365000000001,Lays
320040023,LAYS Y&H 70G 70X12,320040023,12,70,100,83.067083333333329,91.886375000000001,996.80499999999995,1102.6365000000001,LAYS
320035558,Lays MASALA 72G 72X12,320035558,12,72,100,83.067083333333329,91.886375000000001,996.80499999999995,1102.6365000000001,Lays
320035559,Lays SALT 72G 72X12,320035559,12,72,100,83.067083333333329,91.886375000000001,996.80499999999995,1102.6365000000001,Lays
320035850,Lays PAPRIKA 72G 72X12,320035850,12,72,100,83.067083333333329,91.886375000000001,996.80499999999995,1102.6365000000001,Lays
320039861,LAYS MAXX SPICY KIMCHI 36G 36X16,320039861,16,36,70,57.147725000000001,64.052681250000006,914.36360000000002,1024.8429000000001,LAYS
320039862,LAYS MAXX SPICY KIMCHI 56G 56X12,320039862,12,56,100,83.729166666666671,92.764408333333336,1004.75,1113.1729,LAYS
320039863,LAYS MAXX SIGNATURE CHEESE 36G 36X16,320039863,16,36,70,57.147725000000001,64.052681250000006,914.36360000000002,1024.8429000000001,LAYS
320039864,LAYS MAXX SIGNATURE CHEESE 56G 56X12,320039864,12,56,100,83.729166666666671,92.764408333333336,1004.75,1113.1729,LAYS
320033617,LAYS F CHEESE 120G 120X12,320033617,12,120,150,124.372,137.58083333333335,1492.4639999999999,1650.97,LAYS
320033618,LAYS Y&H 120G 120X12,320033618,12,120,150,124.372,137.58083333333335,1492.4639999999999,1650.97,LAYS
320040025,LAYS Y&H 116G 116X12,320040025,12,116,150,124.372,137.58083333333335,1492.4639999999999,1650.97,LAYS
320033619,LAYS MASALA 120G 120X12,320033619,12,120,150,124.372,137.58083333333335,1492.4639999999999,1650.97,LAYS
